$GPRMC,A,190002,44.402228,N,8.972316,E,035.4,097.4,060620,016.0,W,*80
$GPRMC,A,115214,44.403552,N,8.972298,E,025.4,087.4,250520,006.0,W,*88
$GPRMC,A,161728,44.40473,N,8.973392,E,028.4,090.4,270520,009.0,W,*01
$GPRMC,A,171935,44.405593,N,8.975126,E,030.4,092.4,300520,011.0,W,*20
$GPRMC,A,102703,44.402787,N,8.972623,E,023.4,085.4,250520,004.0,W,*48
$GPRMC,A,091355,44.397839,N,8.965118,E,032.4,094.4,030620,013.0,W,*79
$GPRMC,A,184532,44.403597,N,8.972377,E,036.4,098.4,070620,017.0,W,*22
$GPRMC,A,113404,44.403086,N,8.971675,E,024.4,086.4,250520,005.0,W,*7A
$GPRMC,A,142710,44.400725,N,8.976508,E,034.4,096.4,040620,015.0,W,*22
$GPRMC,A,163519,44.405902,N,8.97101,E,029.4,091.4,290520,010.0,W,*78
$GPRMC,A,150419,44.401964,N,8.969603,E,027.4,089.4,270520,008.0,W,*32
$GPRMC,A,123519,44.402669,N,8.972452,E,022.4,084.4,230520,003.0,W,*6A
$GPRMC,A,090809,44.402251,N,8.964285,E,031.4,093.4,010620,012.0,W,*02
$GPRMC,A,112508,44.403719,N,8.970969,E,026.4,088.4,260520,007.0,W,*F1
$GPRMC,A,132700,44.402977,N,8.970456,E,033.4,095.4,030620,014.0,W,*21
